GalaxyX GalaxyY GalaxyS850 GalaxyS500 GalaxyS350 GalaxyS250 z SurveyID SourceX SourceY SourceS500 SourceS350 SourceS250 SourceFlag sourceID
0.7313959 -0.0461595 11.08 45.8 97.71 157.69 0.756671 Survey000001 0.7311111 -0.0466667 50.0 102.55 160.24 1 0
0.7292727 -0.0465337 2.59 4.65 4.56 2.41 3.806185 Survey000001 0.7311111 -0.0466667 50.0 102.55 160.24 0 0
-0.5999117 -0.3172902 6.06 18.09 26.5 28.54 2.23259 Survey000002 -0.6 -0.3166667 50.22 70.72 70.76 1 1
-0.5998507 -0.3156007 9.73 29.04 42.54 45.28 2.156228 Survey000002 -0.6 -0.3166667 50.22 70.72 70.76 0 1
-0.2596021 -1.7791216 1.85 5.31 7.57 8.04 2.59241 Survey000003 -0.26 -1.7811111 50.3 98.42 137.66 1 2
-0.2593764 -1.7809287 13.05 49.96 97.26 137.2 1.462388 Survey000003 -0.26 -1.7811111 50.3 98.42 137.66 0 2
0.0039518 1.8898529 2.12 5.68 7.54 7.06 2.046424 Survey000004 0.0044444 1.8911111 50.37 80.38 96.21 1 3
0.0054071 1.8920603 9.06 34.52 66.88 93.7 1.454501 Survey000004 0.0044444 1.8911111 50.37 80.38 96.21 0 3
-0.0061119 -0.403937 2.5 5.76 6.82 5.2 3.043523 Survey000005 -0.0077778 -0.4044444 50.49 89.48 124.14 1 4
-0.0080569 -0.4040703 7.97 32.77 69.37 110.4 1.088457 Survey000005 -0.0077778 -0.4044444 50.49 89.48 124.14 0 4
-1.2457734 -0.1434219 12.49 52.97 116.28 195.36 0.732481 Survey000006 -1.2455556 -0.1433333 50.5 112.0 189.08 1 5
0.2537436 0.7961305 13.48 56.66 123.06 203.45 0.812144 Survey000007 0.2533333 0.7955556 50.62 118.3 199.16 1 6
-1.6821398 1.5766926 11.08 47.66 106.33 182.67 0.787883 Survey000008 -1.6822222 1.5766667 50.62 112.82 191.59 1 7
0.3742494 1.5472393 9.85 58.25 166.22 377.39 0.069312 Survey000009 0.3744444 1.5466667 50.79 157.68 362.35 1 8
0.5746717 -1.4700484 2.1 6.74 11.24 14.16 2.837416 Survey000010 0.5755556 -1.4677778 50.79 110.17 196.88 1 9
0.5761905 -1.4671899 9.04 41.77 101.2 195.75 0.585087 Survey000010 0.5755556 -1.4677778 50.79 110.17 196.88 0 9
0.949801 2.1647291 11.04 43.68 88.45 132.12 1.188922 Survey000011 0.95 2.1644444 50.84 93.45 135.36 1 10
-1.3082153 1.5354763 10.59 51.61 132.95 281.43 0.251727 Survey000012 -1.3088889 1.5355556 50.85 131.51 277.36 1 11
